0.000000 0.000000
0.050495 0.049485
0.100928 0.096931
0.151237 0.142341
0.201361 0.185722
0.251239 0.227081
0.300808 0.266431
0.350009 0.303783
0.398781 0.339154
0.447063 0.372559
0.494797 0.404019
0.541923 0.433555
0.588382 0.461191
0.634118 0.486951
0.679074 0.510864
0.723192 0.532958
0.766418 0.553264
0.808698 0.571815
0.849979 0.588646
0.890208 0.603791
0.929335 0.617290
0.967309 0.629180
1.004081 0.639503
1.039606 0.648300
1.073836 0.655615
1.106728 0.661494
1.138238 0.665980
1.168326 0.669123
1.196951 0.670971
1.224075 0.671573
1.249663 0.670980
1.273680 0.669243
1.296093 0.666416
1.316872 0.662551
1.335989 0.657705
1.353417 0.651931
1.369132 0.645286
1.383111 0.637828
1.395335 0.629612
1.405786 0.620699
1.414450 0.611146
1.421314 0.601013
1.426367 0.590359
1.429602 0.579245
1.431015 0.567732
1.430603 0.555880
1.428366 0.543750
1.424309 0.531405
1.418438 0.518905
1.410761 0.506312
1.401292 0.493688
1.390046 0.481095
1.377041 0.468595
1.362300 0.456250
1.345847 0.444120
1.327711 0.432268
1.307924 0.420755
1.286520 0.409641
1.263540 0.398987
1.239025 0.388854
1.213022 0.379301
1.185580 0.370388
1.156754 0.362172
1.126600 0.354714
1.095179 0.348069
1.062559 0.342295
1.028807 0.337449
0.993997 0.333584
0.958207 0.330757
0.921519 0.329020
0.884019 0.328427
0.845797 0.329029
0.806949 0.330877
0.767574 0.334020
0.727776 0.338506
0.687664 0.344385
0.647350 0.351700
0.606954 0.360497
0.566596 0.370820
0.526406 0.382710
0.486516 0.396209
0.447063 0.411354
0.408190 0.428185
0.370045 0.446736
0.332781 0.467042
0.296555 0.489136
0.261531 0.513049
0.227878 0.538809
0.195770 0.566445
0.165386 0.595981
0.136913 0.627441
0.110541 0.660846
0.086466 0.696217
0.064891 0.733569
0.046023 0.772919
0.030077 0.814278
0.017273 0.857659
0.007837 0.903069
0.002000 0.950515
0.000000 1.000000
